ï»¿"","ID","Data","Fornecedor","Conta Bancária","Valor","SqMovimentacao","NuCnpj"
"","[ID]","30/12/2019","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","94676 - BB AG 44954 C/C - 9467-6 - CONTA MOVIMENTO","R$2.525,60","2748","13810312000102"
"","[ID]","30/12/2019","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","94676 - BB AG 44954 C/C - 9467-6 - CONTA MOVIMENTO","R$459,20","2744","13810312000102"
"","[ID]","30/12/2019","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","94676 - BB AG 44954 C/C - 9467-6 - CONTA MOVIMENTO","R$1.804,00","2745","13810312000102"
"","[ID]","30/12/2019","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","94676 - BB AG 44954 C/C - 9467-6 - CONTA MOVIMENTO","R$32,80","2746","13810312000102"
"","[ID]","30/12/2019","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","94676 - BB AG 44954 C/C - 9467-6 - CONTA MOVIMENTO","R$328,00","2747","13810312000102"
"","[ID]","30/12/2019","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","94676 - BB AG 44954 C/C - 9467-6 - CONTA MOVIMENTO","R$2.304,63","2771","13810312000102"
"","[ID]","30/12/2019","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","94676 - BB AG 44954 C/C - 9467-6 - CONTA MOVIMENTO","R$37,20","2772","13810312000102"
"","[ID]","30/12/2019","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","94676 - BB AG 44954 C/C - 9467-6 - CONTA MOVIMENTO","R$200,00","2517","13810312000102"
"","[ID]","30/12/2019","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","133531 - Bradesco AG 03544 C/C - 13353-1 - CIP","R$700,70","2518","13810312000102"
"","[ID]","30/12/2019","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","133531 - Bradesco AG 03544 C/C - 13353-1 - CIP","R$700,70","2519","13810312000102"
"","[ID]","30/12/2019","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","94676 - BB AG 44954 C/C - 9467-6 - CONTA MOVIMENTO","R$200,00","2520","13810312000102"
"","[ID]","30/12/2019","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","94676 - BB AG 44954 C/C - 9467-6 - CONTA MOVIMENTO","R$130,00","2521","13810312000102"
"","[ID]","30/12/2019","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","94676 - BB AG 44954 C/C - 9467-6 - CONTA MOVIMENTO","R$130,00","2522","13810312000102"
"","[ID]","30/12/2019","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","94676 - BB AG 44954 C/C - 9467-6 - CONTA MOVIMENTO","R$240,00","2523","13810312000102"
"","[ID]","30/12/2019","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","94676 - BB AG 44954 C/C - 9467-6 - CONTA MOVIMENTO","R$98,75","2524","13810312000102"
"","[ID]","30/12/2019","886.929.905-82 - ROSINAIDE JESUS DE ANDRADE","94676 - BB AG 44954 C/C - 9467-6 - CONTA MOVIMENTO","R$100,00","2759","13810312000102"
"","[ID]","30/12/2019","061.717.755-41 - DANIELA MATOS DOS SANTOS","94676 - BB AG 44954 C/C - 9467-6 - CONTA MOVIMENTO","R$379,05","2760","13810312000102"
"","[ID]","30/12/2019","032.190.475-30 - GILMARA ANDRADE SANTOS","94676 - BB AG 44954 C/C - 9467-6 - CONTA MOVIMENTO","R$529,96","2761","13810312000102"
"","[ID]","30/12/2019","033.422.865-47 - MAILI DOS ANJOS MELLO","94676 - BB AG 44954 C/C - 9467-6 - CONTA MOVIMENTO","R$349,30","2762","13810312000102"
"","[ID]","30/12/2019","935.842.375-72 - MARIA NILZA DOS REIS SANTOS","94676 - BB AG 44954 C/C - 9467-6 - CONTA MOVIMENTO","R$169,32","2763","13810312000102"
"","[ID]","30/12/2019","043.447.885-75 - LAISE MAIANNE OLIVEIRA DE SANTANA","94676 - BB AG 44954 C/C - 9467-6 - CONTA MOVIMENTO","R$200,00","2764","13810312000102"
"","[ID]","30/12/2019","041.603.305-92 - MARIA GRACIELA PIMENTEL DE SOUZA","94676 - BB AG 44954 C/C - 9467-6 - CONTA MOVIMENTO","R$225,75","2765","13810312000102"
"","[ID]","30/12/2019","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","94676 - BB AG 44954 C/C - 9467-6 - CONTA MOVIMENTO","R$1.339,46","2766","13810312000102"
"","[ID]","30/12/2019","007.408.085-75 - MARIA PAIXÃO DE JESUS","94676 - BB AG 44954 C/C - 9467-6 - CONTA MOVIMENTO","R$147,20","2767","13810312000102"
"","[ID]","30/12/2019","910.684.795-15 - MARISETE SILVA DE JESUS FARIAS","94676 - BB AG 44954 C/C - 9467-6 - CONTA MOVIMENTO","R$175,14","2768","13810312000102"
