ï»¿"","Órgão","Unidade","Data","Empenho","Processo","Credor","Pago","Retido","Nota de Pagamento","CNPJ","DsEmpenho","DsItemDespesa"
"","04","0404","31/12/2019","431","1807","00.394.460/0058-87 - MINISTERIO DA FAZENDA","R$17.553,11","R$0,00","1788","13810312000102","PARA FAZER FACE A DESPESA COM AS CONTRIBUIÇÕES AO PASEP, DA CONTA 6.780-6, NO MÊS DEZEMBRO DE 2019.","33904700 - Obrigações Tributárias e Contributivas"
"","07","0707","30/12/2019","87","834","25.213.068/0001-80 - GESTCON ASSESSORIA E CONSULTORIA PUBLICA LTDA - ME","R$1.740,00","R$0,00","841","30062339000183","PARA FAZER FACE A DESPESA NA PRESTAÇÃO DE SERVIÇOS ESPECIALIZADO NA CONSULTORIA E ASSESSORIA ADMINISTRATIVA EM GESTÃO PÚBLICA MUNICIPAL NAS ÁREAS DE LICITAÇÕES E CONTRATOS PÚBLICOS PARA ATENDER A SECRETARIA MUNICIPAL DE EDUCAÇÃO, CONFORME 2º ADITIVO DA  INEXIGIBILIDADE Nº 001/2017 E CONTRATO Nº 004/2017.","33903500 - Serviços de Consultoria"
"","07","0707","30/12/2019","86","833","25.213.068/0001-80 - GESTCON ASSESSORIA E CONSULTORIA PUBLICA LTDA - ME","R$2.610,00","R$217,50","840","30062339000183","PARA FAZER FACE A DESPESA NA PRESTAÇÃO DE SERVIÇOS ESPECIALIZADO NA CONSULTORIA E ASSESSORIA ADMINISTRATIVA EM GESTÃO PÚBLICA MUNICIPAL NAS ÁREAS DE LICITAÇÕES E CONTRATOS PÚBLICOS PARA ATENDER A SECRETARIA MUNICIPAL DE EDUCAÇÃO, CONFORME 2º ADITIVO DA  INEXIGIBILIDADE Nº 001/2017 E CONTRATO Nº 004/2017.","33903400 - Outras Despesas de Pessoal Decorrentes de Contratos de Terceirização"
"","07","0707","30/12/2019","78","875","16.102.998/0001-75 - SOCIEDADE DOS JOSELEITOS DE CRISTO","R$5.000,00","R$0,00","882","30062339000183","PARA FAZER FACE A DESPESA NA LOCAÇÃO DE UM IMÓVEL LOCALIZADO NA PRAÇA OSVALDO ASSUNÇÃO Nº 78 CENTRO DESTINADO AO FUNCIONAMENTO DA ESCOLA PROFESSORA RACKEL, CONFORME DISPENSA Nº 010/2019 E CONTRATO Nº 011/2019.","33903900 - Outros Serviços de Terceiros - Pessoa Jurídica"
"","07","0707","30/12/2019","78","876","16.102.998/0001-75 - SOCIEDADE DOS JOSELEITOS DE CRISTO","R$5.000,00","R$0,00","883","30062339000183","PARA FAZER FACE A DESPESA NA LOCAÇÃO DE UM IMÓVEL LOCALIZADO NA PRAÇA OSVALDO ASSUNÇÃO Nº 78 CENTRO DESTINADO AO FUNCIONAMENTO DA ESCOLA PROFESSORA RACKEL, CONFORME DISPENSA Nº 010/2019 E CONTRATO Nº 011/2019.","33903900 - Outros Serviços de Terceiros - Pessoa Jurídica"
"","07","0707","30/12/2019","78","877","16.102.998/0001-75 - SOCIEDADE DOS JOSELEITOS DE CRISTO","R$5.000,00","R$0,00","884","30062339000183","PARA FAZER FACE A DESPESA NA LOCAÇÃO DE UM IMÓVEL LOCALIZADO NA PRAÇA OSVALDO ASSUNÇÃO Nº 78 CENTRO DESTINADO AO FUNCIONAMENTO DA ESCOLA PROFESSORA RACKEL, CONFORME DISPENSA Nº 010/2019 E CONTRATO Nº 011/2019.","33903900 - Outros Serviços de Terceiros - Pessoa Jurídica"
"","07","0707","30/12/2019","77","853","039.633.675-20 - ALAN SANTOS DA CRUZ","R$350,00","R$0,00","860","30062339000183","PARA FAZER FACE A DESPESA NA LOCAÇÃO DE UM IMÓVEL LOCALIZADO NA FAZENDA CANOA NESTE MUNICIPIO PARA FUNCIONAMENTO DA ESCOLA MACHADO DE ASSIS, CONFORME DISPENSA Nº 009/2019 E CONTRATO Nº 010/2019.","33903600 - Outros Serviços de Terceiros - Pessoa Física"
"","07","0707","30/12/2019","77","854","039.633.675-20 - ALAN SANTOS DA CRUZ","R$700,00","R$0,00","861","30062339000183","PARA FAZER FACE A DESPESA NA LOCAÇÃO DE UM IMÓVEL LOCALIZADO NA FAZENDA CANOA NESTE MUNICIPIO PARA FUNCIONAMENTO DA ESCOLA MACHADO DE ASSIS, CONFORME DISPENSA Nº 009/2019 E CONTRATO Nº 010/2019.","33903600 - Outros Serviços de Terceiros - Pessoa Física"
"","07","0707","30/12/2019","76","851","580.783.635-91 - MARIA LUIZA FERREIRA DOS REIS","R$400,00","R$0,00","858","30062339000183","PARA FAZER FACE A DESPESA NA LOCAÇÃO DE UM IMÓVEL LOCALIZADO NO POVOADO DE TRACUPÁ PARA FUNCIONAMENTO DA CRECHE MARIANA BORGES DE CABRAL, CONFORME DISPENSA Nº 008/2019 E CONTRATO Nº 009/2019.","33903600 - Outros Serviços de Terceiros - Pessoa Física"
"","07","0707","30/12/2019","76","852","580.783.635-91 - MARIA LUIZA FERREIRA DOS REIS","R$800,00","R$0,00","859","30062339000183","PARA FAZER FACE A DESPESA NA LOCAÇÃO DE UM IMÓVEL LOCALIZADO NO POVOADO DE TRACUPÁ PARA FUNCIONAMENTO DA CRECHE MARIANA BORGES DE CABRAL, CONFORME DISPENSA Nº 008/2019 E CONTRATO Nº 009/2019.","33903600 - Outros Serviços de Terceiros - Pessoa Física"
"","07","0707","30/12/2019","75","849","048.985.555-51 - ANGELICA MACEDO DE JESUS","R$300,00","R$0,00","856","30062339000183","PARA FAZER FACE A DESPESA NA LOCAÇÃO DE UM IMÓVEL LOCALIZADO NO POVOADO DE PÉ DE SERRA PARA FUNCIONAMENTO DA ESCOLA MARIANA PENEDO DO PROGRAMA MAIS EDUCAÇÃO, CONFORME DISPENSA Nº 007/2019 E CONTRATO Nº 008/2019.","33903600 - Outros Serviços de Terceiros - Pessoa Física"
"","07","0707","30/12/2019","75","850","048.985.555-51 - ANGELICA MACEDO DE JESUS","R$600,00","R$0,00","857","30062339000183","PARA FAZER FACE A DESPESA NA LOCAÇÃO DE UM IMÓVEL LOCALIZADO NO POVOADO DE PÉ DE SERRA PARA FUNCIONAMENTO DA ESCOLA MARIANA PENEDO DO PROGRAMA MAIS EDUCAÇÃO, CONFORME DISPENSA Nº 007/2019 E CONTRATO Nº 008/2019.","33903600 - Outros Serviços de Terceiros - Pessoa Física"
"","07","0707","30/12/2019","74","855","153.439.955-00 - ANTONIO FAUSTINO DE OLIVEIRA","R$400,00","R$0,00","862","30062339000183","PARA FAZER FACE A DESPESA NA LOCAÇÃO DE UM IMOVEL LOCALIZADO NO POVOADO DE FAZENDA BANANEIRA NO MUNICIPIO DE TUCANO DESTINADO PARA O FUNCIONAMENTO DA ESCOLA MUNICIPAL VINICIUS DE MORAES, CONFORME DISPENSA Nº 004/2019 E CONTRATO Nº 005/2019.","33903600 - Outros Serviços de Terceiros - Pessoa Física"
"","07","0707","30/12/2019","74","856","153.439.955-00 - ANTONIO FAUSTINO DE OLIVEIRA","R$800,00","R$0,00","863","30062339000183","PARA FAZER FACE A DESPESA NA LOCAÇÃO DE UM IMOVEL LOCALIZADO NO POVOADO DE FAZENDA BANANEIRA NO MUNICIPIO DE TUCANO DESTINADO PARA O FUNCIONAMENTO DA ESCOLA MUNICIPAL VINICIUS DE MORAES, CONFORME DISPENSA Nº 004/2019 E CONTRATO Nº 005/2019.","33903600 - Outros Serviços de Terceiros - Pessoa Física"
"","07","0707","30/12/2019","73","868","051.827.095-52 - DIEGO DOS REIS SANTOS","R$400,00","R$0,00","875","30062339000183","PARA FAZER FACE A DESPESA NA LOCAÇÃO DE UM IMOVEL LOCALIZADO NO POVOADO DE FAZENDA CANOA MUNICIPIO DE TUCANO DESTINADO O FUNCIONAMENTO DA ESCOLA MACHADO DE ASSIS NESTE POVOADO, CONFORME DISPENSA Nº 003/2019 E CONTRATO Nº 004/2019.","33903600 - Outros Serviços de Terceiros - Pessoa Física"
"","07","0707","30/12/2019","73","869","051.827.095-52 - DIEGO DOS REIS SANTOS","R$800,00","R$0,00","876","30062339000183","PARA FAZER FACE A DESPESA NA LOCAÇÃO DE UM IMOVEL LOCALIZADO NO POVOADO DE FAZENDA CANOA MUNICIPIO DE TUCANO DESTINADO O FUNCIONAMENTO DA ESCOLA MACHADO DE ASSIS NESTE POVOADO, CONFORME DISPENSA Nº 003/2019 E CONTRATO Nº 004/2019.","33903600 - Outros Serviços de Terceiros - Pessoa Física"
"","09","0912","30/12/2019","7","532","17.993.326/0001-60 - FUNDO ASSISTENCIA SOCIAL DE TUCANO","R$22.117,01","R$5.489,99","533","17993326000160","PARA FAZER FACE A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICOS MUNICIPAL LOTADOS NA MANUTENÇÃO DO SECRETARIA MUNICIPAL DESENVOLVIMENTO SOCIAL, DURANTE O EXERCICIO DE 2019.","31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil"
"","07","0707","30/12/2019","69","829","30.062.339/0001-83 - SECRETARIA MUNICIPAL DE EDUCACAO","R$13.344,32","R$1.105,40","836","30062339000183","PARA FAZER FACE A DESPESAS COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL CONTRATADOS LOTADOS NA SECRETARIA MUNICIPAL DE EDUCAÇÃO, REFERENTE O EXERCICIO DE 2019.","31900400 - Contratação Por Tempo Determinado"
"","09","0914","30/12/2019","6","531","17.993.326/0001-60 - FUNDO ASSISTENCIA SOCIAL DE TUCANO","R$15.915,00","R$2.471,96","532","17993326000160","PARA FAZER FACE A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICOS MUNICIPAL LOTADOS NAS ATIVIDADES DO CONSELHO TUTELAR, DURANTE O EXERCICIO DE 2019.","31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil"
"","07","0707","30/12/2019","6","830","30.062.339/0001-83 - SECRETARIA MUNICIPAL DE EDUCACAO","R$412.992,90","R$98.438,34","837","30062339000183","PARA FAZER FACE A DESPESAS COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL LOTADOS JUNTO AS AÇÕES DO DEPARTAMENTO DE EDUCAÇÃO 25%, REFERENTE O EXERCICIO DE 2019.","31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil"
"","07","0707","30/12/2019","6","828","30.062.339/0001-83 - SECRETARIA MUNICIPAL DE EDUCACAO","R$6.312,50","R$950,85","835","30062339000183","PARA FAZER FACE A DESPESAS COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL LOTADOS JUNTO AS AÇÕES DO DEPARTAMENTO DE EDUCAÇÃO 25%, REFERENTE O EXERCICIO DE 2019.","31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil"
