ï»¿"","","Data","Processo","Origem","Favorecido","Conta Banco","Valor","NuCnpj","SqMovimentacao","TpRepasse"
"","","30/12/2019","421","PREFEITURA DE TUCANO","SECRETARIA MUNICIPAL DE EDUCACAO","94676 - BB AG 44954 C/C - 9467-6 - CONTA MOVIMENTO","R$22.999,50","13810312000102","2525","MB"
"","","30/12/2019","422","PREFEITURA DE TUCANO","SECRETARIA MUNICIPAL DE EDUCACAO","94676 - BB AG 44954 C/C - 9467-6 - CONTA MOVIMENTO","R$1.322.000,00","13810312000102","2545","MB"
"","","30/12/2019","423","PREFEITURA DE TUCANO","FUNDO SAUDE TUCANO","94676 - BB AG 44954 C/C - 9467-6 - CONTA MOVIMENTO","R$15.400,00","13810312000102","2582","MB"
"","","30/12/2019","424","PREFEITURA DE TUCANO","FUNDO ASSISTENCIA SOCIAL DE TUCANO","94676 - BB AG 44954 C/C - 9467-6 - CONTA MOVIMENTO","R$36.000,00","13810312000102","2601","MB"
"","","30/12/2019","425","PREFEITURA DE TUCANO","FUNDO SAUDE TUCANO","15072X - BB AG 44954 C/C - 15072-X - ITR","R$34,75","13810312000102","2695","MB"
"","","30/12/2019","426","PREFEITURA DE TUCANO","FUNDO SAUDE TUCANO","150746 - BB AG 44954 C/C - 15074-6 - FPM","R$182.762,64","13810312000102","2696","MB"
"","","30/12/2019","427","PREFEITURA DE TUCANO","FUNDO SAUDE TUCANO","77860 - BB AG 44954 C/C - 7786-0 - IPI","R$277,56","13810312000102","2697","MB"
"","","30/12/2019","428","PREFEITURA DE TUCANO","FUNDO SAUDE TUCANO","77852 - BB AG 44954 C/C - 7785-2 - ICMS","R$57.132,04","13810312000102","2698","MB"
"","","30/12/2019","1787","PREFEITURA DE TUCANO","CONFEDERACAO NACIONAL DE MUNICIPIOS","150746 - BB AG 44954 C/C - 15074-6 - FPM","R$1.536,00","13810312000102","1776","NP"
"","","27/12/2019","528","FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL DE TUCANO","LAR DONA RITINHA","151815 - BB AG 44954 C/C - 15181-5 - TUCANOBL MAC FNAS","R$5.500,00","17993326000160","519","NP"
"","","27/12/2019","529","FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL DE TUCANO","LAR DONA RITINHA","152064 - BB AG 44954 C/C - 15206-4 - BLOCO DA PSEMC E PSEAC","R$6.800,00","17993326000160","520","NP"
"","","27/12/2019","420","PREFEITURA DE TUCANO","FUNDO SAUDE TUCANO","94676 - BB AG 44954 C/C - 9467-6 - CONTA MOVIMENTO","R$42.000,00","13810312000102","2560","MB"
"","","26/12/2019","418","PREFEITURA DE TUCANO","FUNDO SAUDE TUCANO","94676 - BB AG 44954 C/C - 9467-6 - CONTA MOVIMENTO","R$34.000,00","13810312000102","2553","MB"
